"CG_nb" "chromosome" "start" "end" "meth_F" "meth_R" "meth_avg" "meth_sd" "collection" "group" "rep" "clone" "alg_coord_start" "alg_coord_end"
17 "chr16" 68771150 68771151 NA 100 100 NA "" "High methylated DNA" 2 NA 68771008 68771153
16 "chr16" 68771143 68771144 NA 100 100 NA "" "High methylated DNA" 2 NA 68771008 68771153
15 "chr16" 68771138 68771139 NA 100 100 NA "" "High methylated DNA" 2 NA 68771008 68771153
14 "chr16" 68771112 68771113 NA 99.73 99.73 NA "" "High methylated DNA" 2 NA 68771008 68771153
13 "chr16" 68771092 68771093 NA 100 100 NA "" "High methylated DNA" 2 NA 68771008 68771153
12 "chr16" 68771090 68771091 NA 98.55 98.55 NA "" "High methylated DNA" 2 NA 68771008 68771153
11 "chr16" 68771073 68771074 NA 77.83 77.83 NA "" "High methylated DNA" 2 NA 68771008 68771153
10 "chr16" 68771064 68771065 NA 95.84 95.84 NA "" "High methylated DNA" 2 NA 68771008 68771153
9 "chr16" 68771059 68771060 NA 100 100 NA "" "High methylated DNA" 2 NA 68771008 68771153
8 "chr16" 68771051 68771052 NA 84.08 84.08 NA "" "High methylated DNA" 2 NA 68771008 68771153
7 "chr16" 68771045 68771046 NA 100 100 NA "" "High methylated DNA" 2 NA 68771008 68771153
6 "chr16" 68771037 68771038 NA 100 100 NA "" "High methylated DNA" 2 NA 68771008 68771153
5 "chr16" 68771035 68771036 NA 83.5 83.5 NA "" "High methylated DNA" 2 NA 68771008 68771153
