"CG_nb" "chr" "start" "end" "meth_F" "meth_R" "meth_avg" "meth_sd"
"1" 5 "chr16" 68771035 68771036 NA 96.39 96.39 NA
"2" 6 "chr16" 68771037 68771038 NA 100 100 NA
"3" 7 "chr16" 68771045 68771046 NA 100 100 NA
"4" 8 "chr16" 68771051 68771052 71.13 82.65 76.89 8.15
"5" 9 "chr16" 68771059 68771060 83.73 100 91.865 11.5
"6" 10 "chr16" 68771064 68771065 100 96.42 98.21 2.53
"7" 11 "chr16" 68771073 68771074 70.5 78 74.25 5.3
"8" 12 "chr16" 68771090 68771091 99.72 99.4 99.56 0.23
"9" 13 "chr16" 68771092 68771093 100 100 100 0
"10" 14 "chr16" 68771112 68771113 99.8 100 99.9 0.14
"11" 15 "chr16" 68771138 68771139 100 100 100 0
"12" 16 "chr16" 68771143 68771144 100 100 100 0
"13" 17 "chr16" 68771150 68771151 100 100 100 0
"14" 18 "chr16" 68771159 68771160 99.62 NA 99.62 NA
"15" 19 "chr16" 68771182 68771183 100 NA 100 NA
"16" 20 "chr16" 68771200 68771201 100 NA 100 NA
"17" 21 "chr16" 68771203 68771204 100 NA 100 NA
