"C_nb" "conversion_rate_F" "conversion_rate_R"
"1" 20 NA 1
"2" 21 NA 1
"3" 22 NA 1
"4" 23 NA 1
"5" 24 NA 1
"6" 25 NA 1
"7" 26 NA 1
"8" 27 NA 1
"9" 28 NA 1
"10" 29 NA 1
"11" 30 NA 1
"12" 31 0.5 1
"13" 32 1 1
"14" 33 1 1
"15" 34 1 1
"16" 35 0.58 1
"17" 36 1 1
"18" 37 1 1
"19" 38 1 1
"20" 39 1 1
"21" 40 1 1
"22" 41 1 1
"23" 42 1 1
"24" 43 1 1
"25" 44 1 1
"26" 45 1 1
"27" 46 1 1
"28" 47 1 1
"29" 48 1 1
"30" 49 1 1
"31" 50 1 1
"32" 51 1 NA
"33" 52 1 NA
"34" 53 1 NA
"35" 54 1 NA
"36" 55 1 NA
"37" 56 1 NA
"38" 57 1 NA
"39" 58 1 NA
"40" 59 1 NA
"41" 60 1 NA
"42" 61 1 NA
"43" 62 1 NA
"44" 63 1 NA
"45" 64 1 NA
"46" 65 1 NA
"47" 66 1 NA
"48" 67 1 NA
"49" 68 1 NA
"50" 69 1 NA
"51" 70 1 NA
"52" 71 1 NA
"53" 72 1 NA
"54" 73 1 NA
"55" 74 1 NA
"56" 75 1 NA
