"CG_nb" "CG_coord" "chromosome" "start" "end" "position" "meth_F" "meth_R" "meth_avg" "meth_sd" "meth" "collection" "group" "rep" "clone" "group_ID" "rep_ID" "clone_ID" "alg_coord_start" "alg_coord_end"
"1" "chr16:68771035-68771036" "chr16" 68771035 68771036 68771035 NA 0 0 NA 0 "" "Low methylated DNA" "1" "" "Low methylated DNA" "Low methylated DNA 1" "Low methylated DNA 1 clone" 68771008 68771153
"2" "chr16:68771037-68771038" "chr16" 68771037 68771038 68771037 NA 0 0 NA 0 "" "Low methylated DNA" "1" "" "Low methylated DNA" "Low methylated DNA 1" "Low methylated DNA 1 clone" 68771008 68771153
"3" "chr16:68771045-68771046" "chr16" 68771045 68771046 68771045 NA 0 0 NA 0 "" "Low methylated DNA" "1" "" "Low methylated DNA" "Low methylated DNA 1" "Low methylated DNA 1 clone" 68771008 68771153
"4" "chr16:68771051-68771052" "chr16" 68771051 68771052 68771051 NA 0 0 NA 0 "" "Low methylated DNA" "1" "" "Low methylated DNA" "Low methylated DNA 1" "Low methylated DNA 1 clone" 68771008 68771153
"5" "chr16:68771059-68771060" "chr16" 68771059 68771060 68771059 NA 0 0 NA 0 "" "Low methylated DNA" "1" "" "Low methylated DNA" "Low methylated DNA 1" "Low methylated DNA 1 clone" 68771008 68771153
"6" "chr16:68771064-68771065" "chr16" 68771064 68771065 68771064 NA 6 6 NA 6 "" "Low methylated DNA" "1" "" "Low methylated DNA" "Low methylated DNA 1" "Low methylated DNA 1 clone" 68771008 68771153
"7" "chr16:68771073-68771074" "chr16" 68771073 68771074 68771073 NA 0 0 NA 0 "" "Low methylated DNA" "1" "" "Low methylated DNA" "Low methylated DNA 1" "Low methylated DNA 1 clone" 68771008 68771153
"8" "chr16:68771090-68771091" "chr16" 68771090 68771091 68771090 NA 0 0 NA 0 "" "Low methylated DNA" "1" "" "Low methylated DNA" "Low methylated DNA 1" "Low methylated DNA 1 clone" 68771008 68771153
"9" "chr16:68771092-68771093" "chr16" 68771092 68771093 68771092 NA 0 0 NA 0 "" "Low methylated DNA" "1" "" "Low methylated DNA" "Low methylated DNA 1" "Low methylated DNA 1 clone" 68771008 68771153
"10" "chr16:68771112-68771113" "chr16" 68771112 68771113 68771112 NA 0 0 NA 0 "" "Low methylated DNA" "1" "" "Low methylated DNA" "Low methylated DNA 1" "Low methylated DNA 1 clone" 68771008 68771153
